occp,age_bin,p5,p10,p15,p20,p25,p30,p35,p40,p45,p50,p55,p60,p65,p70,p75,p80,p85,p90,p95
1,1,20.283529,2916.4719,7862.7666,12333.426,16163.502,19778.922,22843.764,26239.283,29277.855,31886.916,35049.477,38549.391,41450.887,44708.492,48318.684,53017.516,58680.574,66836.422,80283.094
1,2,.15177299,4014.3726,10604.508,15964.936,20571.371,24477.725,28102.432,31641.926,34876.992,38402.734,41208.289,44499.684,47661.105,51552.734,55823.055,61172.746,68230.336,76927.453,92997.867
1,3,44.485245,3954.4849,11800.235,17895.129,23020.529,27673.768,31718.844,35563.504,39098.137,42648.676,45724.07,49481.793,53163.883,57276.781,62253.441,68487.555,76339.25,87265.547,107191.64
1,4,27.306471,3533.2014,12239.425,19310.871,24901.936,29985.703,34286.957,38453.148,42251.754,45717.379,49288.199,52985.984,57394.273,62507.344,68187.32,75616.148,84949.461,98181.039,121388.63
1,5,21.239758,3207.1541,12431.496,20142.393,26299.797,31516.375,36526.621,40536.25,44644.813,48159.617,52455.734,56612.496,61376.078,67035.727,73720.109,81899.039,91820.789,107345.79,134465.2
1,6,3.7020316,2974.397,12495.102,20965.324,27706.967,33671.051,38575.758,43457.152,47591.996,52107.941,56144.938,61110.074,66942.281,72818.117,80659.953,89644.602,101014.24,119086.41,155538.58
1,7,.73241663,3121.6514,12745.822,21556.244,28701.879,34610.676,40170.523,44738.941,49680.027,54127.578,58827.195,63714.129,69795.383,76516.664,84228.398,93745.977,106913.43,125638.4,167432.75
1,8,2.1733673,3444.53,13259.588,21860.965,29114.143,35752.496,40956.734,46147.48,51064.145,55488.727,60541.895,66117.844,72461.063,79716.195,87035.734,97813.172,111160.34,131906.58,177237.16
1,9,10.8335,4094.1135,14003.367,22407.277,29941.107,36367.152,42095.551,47203.148,51822.816,57063.266,62107.953,67398.211,73965.055,81584.813,89827.117,99750.047,114962.14,136997.72,185106.98
1,10,2.0587952,4096.1836,13802.44,22364.461,29987.248,36688.449,42280.453,47770.336,52618.219,57834.574,63296.766,69308.484,75377.508,83314.25,92332.641,103071.77,117921.16,141889,195449.83
1,11,5.7571802,4118.9326,14003.721,22573.645,30193.785,37190.398,42973.375,48497.996,53610.152,59200.277,64901.445,71235.805,77322.18,84836.141,94499.719,105468.33,120740.74,144489.25,200145.14
1,12,15.385197,4035.002,13550.934,22049.191,29843.533,36661.914,42616.598,48254.375,53707.98,59249.48,64970.43,71069.508,78065.148,85617.594,95171.164,106056.28,121582.52,146499.78,204908.23
1,13,5.6158171,3348.5945,12880.224,21465.879,28861.967,35675.621,41927.078,47779.078,53209.156,59241.16,64785.418,71300.82,77857.297,85574.883,95276.234,106383.61,122697.8,147290.95,207071.59
1,14,1.3334112,2527.7703,12233.24,20700.361,28498.127,35449.906,41836.512,47872.484,53368.879,59243.129,65045.371,71705.313,78555.813,86129.406,96130.203,107301.49,123667.02,148180.02,208277.27
1,15,0,1500.9794,10870.246,19560.85,27299.504,34296.949,40940,47193.316,52960.77,58435.164,64420.598,70715.594,77639.977,85378.641,95139.688,105987.77,121839.71,145863.55,207179.69
1,16,0,396.85709,7265.9453,16650.844,24717.131,31966.016,38910.137,45385.16,51286.746,57130.852,62977.594,69148.898,76481.859,84099.227,93777.68,104671.97,119773.48,144642.95,203629.72
1,17,0,21.646544,3029.9353,11802.17,20561.686,28272.393,35271.156,42099.773,48638.648,54555.414,60603.641,67144.984,73444.438,81171.313,90167.344,101181.61,116734.63,141881.14,197543.11
1,18,0,0,369.35236,5705.1904,14732.112,22791.484,30399.236,37684.176,44756.547,51145.145,57598.527,63915.406,70738.664,78764.984,87209.047,98194.18,112414.66,136705.89,192256.3
1,19,0,0,8.4134007,449.84048,5019.3608,13206.595,21572.314,29524.322,37187.762,44422.867,51480.027,58289.184,65530.141,73104.547,82039.102,92953.047,107028.63,129662.78,181248.86
1,20,0,0,0,0,0,0,0,281.67435,2735.2949,7608.8408,14129.037,22161.99,32151.574,43204.414,54643.938,67280.539,83288.164,105051.63,152514.33
2,1,0,64.975449,1341.3887,4028.5269,6842.8716,9731.3125,12082.579,14468.546,16864.561,19245.865,21335.598,23680.186,26132.801,28600.615,31242.705,34703.945,38957.652,44615.801,55991.746
2,2,0,43.961887,1516.9855,4779.2915,8307.3154,11392.784,14260.676,17054.982,19747.98,22212.379,24474.662,27025.676,29615.176,32199.965,35293.43,39259.297,43877.395,51297.879,65483.066
2,3,0,30.025328,1424.6995,5043.7988,8967.3301,12461.505,15659.206,18767.084,21655.334,24328.006,27006.861,29723.398,32279.168,35457.16,39090.684,43538.445,49441.41,58673.219,76356.172
2,4,0,22.520308,1040.3585,4974.9087,9280.1934,13103.903,16846.326,20216.145,23190.115,25940.627,28645.484,31298.426,34187.648,37826.473,41668.707,46594.727,53253.43,64035.426,85913.844
2,5,0,17.982985,1167.239,5343.2505,9811.8047,13702.051,17434.15,20772.955,24070.721,26812.967,29718.746,32651.785,36057.461,39557.246,43976.434,49563.543,57225.238,69400.297,94639.133
2,6,0,22.21632,1811.7533,6430.5991,11053.104,15371.217,19601.445,22758.285,26075.344,29166.432,32147.982,35372.414,38601.371,42755.836,47783.438,54236.043,63109.551,77144.703,108103.3
2,7,0,69.880638,2485.8359,7450.9653,12112.783,16306.941,20408.738,23901.09,27155.074,30435.92,33327.957,36904.461,40462.328,44796.523,49811.746,56441.965,66312.961,82523.164,116315.4
2,8,0,143.38654,2818.3918,7984.0957,12711.164,17131.889,20941.979,24549.424,27696.213,30887.08,33931.012,37525.777,41331.789,45814.102,51417.727,58246.945,68182.898,85003.891,120356.17
2,9,0,100.90025,3094.2932,8416.0137,13291.597,17737.537,21562.963,25133.805,28499.061,31564.764,34706.988,37934.871,42137.016,46559.34,52246.902,59680.219,69888.328,86829.016,125148.61
2,10,0,166.45859,3817.3438,9371.4717,14088.691,18412.254,22227.406,25675.805,28910.52,32215.939,35302.855,38829.09,42769.723,47231.809,53199.309,60231.027,70876.891,89824.016,128855.15
2,11,7.0813928,253.71451,4302.2935,9986.5029,14877.737,19543.861,23053.232,26379.459,29732.088,33025.52,36398.719,39908.723,44058.871,48433.613,54533.523,62146.141,73162.875,91544.484,130010.92
2,12,0,294.05893,4272.1035,10085.177,14962.415,19401.359,23090.17,26483.779,29709.768,33030.789,36468.395,39913.5,43880.227,48575.645,54725.137,61855.152,73029.953,91343.797,128676.73
2,13,0,205.93094,3814.2607,9581.8018,14792.366,19294.148,22916.82,26354.266,29488.084,32733.393,36343.602,39763.203,44078.227,48595.391,53969.543,61068.355,71923.016,89554.391,126215.73
2,14,0,205.89299,3694.8853,9432.0166,14420.969,19077.701,22992.402,26399.934,29636.813,32812.988,36311.828,39708.777,43688.734,47812.887,53546.559,59902.422,70135.031,86106.031,120520.98
2,15,0,108.87432,3003.5645,8966.1602,14107.511,18845.475,22866.977,26231.533,29514.148,32653.688,36095.332,39655.945,43500.59,48052.91,53463.664,59706.488,69444.531,85043.57,117945.75
2,16,0,57.99604,1865.072,7046.7598,12437.549,17234.453,21459.523,25056.109,28423.006,31759.824,35155.711,38472.035,42482.363,46963.449,52346.773,58316.664,67452.859,82859.648,113935.95
2,17,0,1.2546983,672.84082,4695.9756,10266.404,15459.626,20109.234,23869.346,27383.604,30735.857,33789.059,37400.281,41104.344,45212.961,50565.832,56843.988,65629.453,79041.398,109379.08
2,18,0,0,42.584763,2347.6797,7456.9805,12826.143,17574.443,21826.336,25470.838,29005.162,32344.564,35809.672,39686.246,43950.238,48806.102,54649.531,63272.219,76204.367,105762.73
2,19,0,0,0,216.17213,2643.0344,7546.397,12458.539,17055.699,21547.363,25378.414,28962.168,32625.049,36360.875,40413.113,45358.973,51751.238,59446.02,72069.43,100395.71
2,20,0,0,0,0,0,0,0,182.44856,1880.6278,5103.1382,8756.3691,12498.838,17026.668,22433.189,28410.252,34656.105,42539.23,53845.223,75841.758
3,1,0,0,142.04488,1269.5334,3311.7351,5489.1797,7683.3535,9757.1221,11632.153,13583.854,15689.327,17601.725,19744.451,21916.258,24674.707,27668.059,31464.998,37400.504,47182.629
3,2,0,.13874947,49.062096,960.60394,3107.957,5535.1499,8182.1348,10514.61,12627.205,14678.162,16911.813,19169.594,21369.141,24029.553,26948.77,30547.316,35368.895,42220.617,53714.203
3,3,0,2.2109704,69.370277,874.61444,2981.6064,5528.6675,8284.8574,10760.665,13036.972,15383.325,17686.77,20035.654,22772.523,25485.076,29092.381,33022.59,38697.391,46427.102,60047.406
3,4,0,0,61.761471,752.49738,2944.416,5687.2134,8387.7285,11023.825,13341.425,15756.867,18174.453,20791.43,23456.715,26880.816,30778.34,35383.039,41713.031,50889.391,66257.336
3,5,0,0,13.302865,507.74347,2423.4922,5173.5889,8003.5537,10750.316,13182.715,15667.27,18109.531,20818.02,23610.885,27178.023,31619.479,36793.145,43503.324,53330.016,69791.523
3,6,0,0,77.105789,661.71484,2699.3,5624.5669,8541.54,11303.045,13853.702,16420.367,19037.826,21861.822,24909.508,28930.023,33416.969,39260.137,46867.293,58711.043,76823.32
3,7,0,6.4603515,51.697411,620.17517,2780.3623,5886.8843,8955.2881,11739.79,14254.932,16882.943,19538.258,22169.98,25507.088,29837.443,34576.918,40893.063,49535.574,62333.781,81621.125
3,8,0,4.8242369,103.12211,842.76929,3067.9255,6144.3374,9068.9756,11877.298,14420.657,16751.344,19585.004,22263.715,25534.574,29644.646,34807.359,41393.094,50498.938,63654.996,82995.164
3,9,0,0,64.771057,675.16168,2869.4431,5989.8584,9073.0029,11899.403,14526.351,17204.037,20029.885,22887.482,26138.744,30581.904,36125.547,43015.641,52200.66,65765.164,85758.844
3,10,0,0,41.587566,668.61371,2983.7495,6345.5688,9384.8174,12010.538,14799.753,17503.348,20488.074,23294.695,26795.805,31269.242,36555.957,44194.434,53722.434,67930.719,87955.984
3,11,0,0,72.88356,771.60492,3246.6655,6576.5801,9612.7451,12252.378,14849.281,17415.439,20282.184,23079.381,26643.713,30730.518,36013.078,43180.965,52922.332,66903.133,88108.094
3,12,0,0,2.3422148,653.39868,2909.8167,6295.6426,9309.9004,12052.987,14547.962,17322.678,20213.078,23051.158,26441.252,30620.164,35472.313,42170.637,52090.52,66264.531,88711.867
3,13,0,9.7798719,27.219965,420.0126,2782.748,6152.3169,9151.123,11779.705,14267.05,16775.373,19528.266,22190.447,25332.35,29110.715,33920.863,40027.848,48861.086,63023.559,85301.297
3,14,0,.31771567,33.695957,305.59219,1936.8212,5179.7788,8560.2832,11306.791,13887.505,16374.874,19068.494,21778.689,24839.826,28512.016,32708.094,38909.746,46696.602,60113.434,83496.883
3,15,0,0,4.2652044,184.18126,1699.4429,4799.7041,7868.9712,10709.524,13300.188,16003.296,18737.875,21240.482,24401.18,27705.188,31981.844,37338.941,44722.379,56714.227,79283.75
3,16,0,0,1.5309018,148.74687,1488.546,4383.1602,7625.665,10530.204,13037.101,15722.626,18321.039,21024.822,23921.684,26999.57,30864.699,35797.309,42075.609,52434.602,72648.383
3,17,0,0,2.408227,118.51731,874.16406,3292.5002,6490.6035,9529.377,12053.296,14645.112,17243.082,19947.889,22668.553,25774.334,29606.402,34066.113,40308.355,49508.242,67436.891
3,18,0,0,1.2212511,62.226311,655.21179,2552.4153,5814.2339,8837.7383,11513.393,14217.928,16677.16,19508.873,22151.006,25201.449,28694.713,33057.383,38829.711,47709.359,64637.18
3,19,0,0,0,8.5719404,211.84846,1181.5077,3415.1531,6295.3687,9283.3496,12019.316,14492.437,17122.83,19965.816,23059.904,26534.643,30765.828,36236.023,44421.172,59826.621
3,20,0,0,0,0,0,2.4505389,5.7762699,152.29045,1148.2208,3075.3533,5131.5879,7371.0591,9764.2822,12407.343,15426.367,19309.848,24397.199,31312.094,44649.086
4,1,.81941557,307.1915,2710.595,6861.8657,10825.951,14668.259,17749.674,20444.211,22923.205,25088.801,27458.232,29907.365,32196.074,35331.313,38401.766,42426.539,47702.875,54882.43,66416.344
4,2,18.926016,239.24219,2251.7622,7041.6411,11982.116,15813.974,19067.51,21950.91,24648.467,27027.328,29597.881,32151.369,35338.398,38405.172,41898.336,46740.891,51776.988,59984.773,73800.539
4,3,1.6667111,163.36992,2177.5237,7471.7158,12589.682,16791.816,20367.496,23030.898,25882.043,28602.729,31245.963,34186.238,37236.23,40809.676,45129.164,49753.473,55800.82,64076.168,77906.703
4,4,1.8788291,131.10698,1771.7817,7274.6582,12891.297,17315.607,21006.953,24033.402,27367.615,30102.102,33060.023,36218.426,39496.531,42900.848,47394.598,52186.734,58734.336,67328.563,82476.695
4,5,0,115.90278,1557.1908,6943.8413,12860.483,17559.1,21471.941,24882.381,27888.395,30960.492,34043.172,37227.852,40844.801,44839.598,49427.426,54900.656,61031.48,70334.211,85931.922
4,6,0,75.323227,1547.9027,6565.0171,13206.64,18094.561,22085.482,25440.473,28996.783,32377.629,35532.125,38978.965,42629.469,47127.578,51376.891,57032.891,63611.516,73118.82,89750.445
