age,loan_amt,is_idp,loan_amt_left,occp,family_income,educ,hh_size,grad_age
41,40000,0,25000,1,113000,13,3,31
41,40000,0,25000,1,113000,13,3,31
41,40000,0,25000,1,113000,13,3,31
41,40000,0,25000,1,113000,13,3,31
41,40000,0,25000,1,113000,13,3,31
25,13000,1,13000,3,15000,8,1,26
25,13000,1,13000,3,15000,8,1,26
25,13000,1,13000,3,15000,8,1,26
25,13000,1,13000,3,15000,8,1,26
25,13000,1,13000,3,15000,8,1,26
42,11000,0,8900,1,28000,12,4,39
42,11000,0,8900,1,28000,12,4,39
42,11000,0,8900,1,28000,12,4,39
42,11000,0,8900,1,28000,12,4,39
42,11000,0,8900,1,28000,12,4,39
30,5000,1,5000,0,5000,9,3,28
30,5000,1,5000,0,5000,9,3,28
30,5000,1,5000,0,5000,9,3,28
30,5000,1,5000,0,5000,9,3,28
30,5000,1,5000,0,5000,9,3,28
62,20000,1,21000,1,102000,13,1,56
62,20000,1,21000,1,102000,13,1,56
62,20000,1,21000,1,102000,13,1,56
62,20000,1,21000,1,102000,13,1,56
62,20000,1,21000,1,102000,13,1,56
35,20000,0,14000,1,37000,9,3,20
35,20000,0,14000,1,37000,9,3,20
35,20000,0,14000,1,37000,9,3,20
35,20000,0,14000,1,37000,9,3,20
35,20000,0,14000,1,37000,9,3,20
38,30000,0,28000,1,68000,12,1,37
38,30000,0,28000,1,68000,12,1,37
38,30000,0,28000,1,68000,12,1,37
38,30000,0,28000,1,68000,12,1,37
38,30000,0,28000,1,68000,12,1,37
40,57000,1,56000,1,73000,11,3,37
40,57000,1,56000,1,73000,11,3,37
40,57000,1,56000,1,73000,11,3,37
40,57000,1,56000,1,73000,11,3,37
40,57000,1,56000,1,73000,11,3,37
54,8000,1,6000,1,27000,10,1,30
54,8000,1,6000,1,27000,10,1,30
54,8000,1,6000,1,27000,10,1,30
54,8000,1,6000,1,27000,10,1,30
54,8000,1,6000,1,27000,10,1,30
50,15000,0,3800,1,127000,13,4,33
50,15000,0,3900,1,127000,13,4,33
50,15000,0,3800,1,127000,13,4,33
50,15000,0,3900,1,127000,13,4,33
50,15000,0,3900,1,127000,13,4,33
35,9000,0,4100,1,48000,12,3,22
35,9000,0,4100,1,63000,12,3,22
35,9000,0,4100,1,43000,12,3,22
35,9000,0,4100,1,43000,12,3,22
35,9000,0,4100,1,50000,12,3,22
47,50000,1,43000,2,38000,11,1,42
47,50000,1,43000,2,38000,11,1,42
47,50000,1,43000,2,38000,11,1,42
47,50000,1,43000,2,38000,11,1,42
47,50000,1,43000,2,38000,11,1,42
32,30000,0,20000,2,119000,12,3,23
32,30000,0,20000,2,119000,12,3,23
32,30000,0,20000,2,119000,12,3,23
32,30000,0,20000,2,119000,12,3,23
32,30000,0,20000,2,119000,12,3,23
44,40000,0,30000,1,35000,13,1,28
44,40000,0,30000,1,35000,13,1,28
44,40000,0,30000,1,35000,13,1,28
44,40000,0,30000,1,35000,13,1,28
44,40000,0,30000,1,35000,13,1,28
46,15000,1,24000,2,81000,11,2,21
46,15000,1,24000,2,81000,11,2,21
46,15000,1,24000,2,81000,11,2,21
46,15000,1,24000,2,81000,11,2,21
46,15000,1,24000,2,81000,11,2,21
50,48000,0,48000,3,35000,9,2,47
50,48000,0,48000,3,35000,9,2,47
50,48000,0,48000,3,35000,9,2,47
50,48000,0,48000,3,35000,9,2,47
50,48000,0,48000,3,35000,9,2,47
33,10000,0,7500,1,57000,12,4,28
33,10000,0,7500,1,57000,12,4,28
33,10000,0,7500,1,57000,12,4,28
33,10000,0,7500,1,57000,12,4,28
33,10000,0,7500,1,57000,12,4,28
55,15000,0,14000,0,33000,8,2,44
55,15000,0,14000,0,33000,8,2,44
55,15000,0,14000,0,32000,8,2,44
55,15000,0,14000,0,33000,8,2,44
55,15000,0,14000,0,33000,8,2,44
35,55000,1,52000,4,117000,12,3,29
35,55000,1,52000,4,117000,12,3,29
35,55000,1,52000,4,117000,12,3,29
35,55000,1,52000,4,117000,12,3,29
35,55000,1,52000,4,117000,12,3,29
22,3500,0,2700,2,17000,8,2,19
22,3500,0,2700,2,17000,8,2,19
22,3500,0,2700,2,17000,8,2,19
22,3500,0,2700,2,17000,8,2,19
22,3500,0,2700,2,17000,8,2,19
